iter,keypair,sign,verify
0,1807823,2911515,1802500
1,1822746,2239910,1802214
2,1837568,3586139,1802466
3,1807957,4464251,1801991
4,1837526,3722231,1802436
5,1808071,2913953,1802716
6,1837691,4316739,1802184
7,1837825,2239845,1802707
8,1837602,3059877,1802909
9,1793148,4368034,1802244
10,1822823,14152853,1803056
11,1852432,3020409,1802780
12,1793358,4292869,1802903
13,1837577,3650514,1802925
14,1807990,2240089,1802234
15,1822770,4398477,1802720
16,1822617,6303179,1802132
17,1852462,3802532,1802564
18,1808047,2915723,1802908
19,1837584,2914732,1802495
20,1822869,2913981,1802646
21,1837454,2239854,1802774
22,1822941,3612780,1802343
23,1807883,5630916,1802684
24,1808174,5784945,1801857
25,1807995,2909127,1802585
26,1807887,4433504,1802807
27,1808031,7730660,1802897
28,1807987,3694576,1802697
29,1807987,2239987,1802566
