iter,keypair,sign,verify
0,2394507,2777839,2295749
1,2394828,8646996,2295576
2,2396685,2777710,2296358
3,2395135,8697397,2296042
4,2396394,3568758,2296170
5,2395633,15258462,2295428
6,2394728,9085846,2295647
7,2395400,4325494,2296065
8,2395219,4168840,2296027
9,2395345,4170735,2296027
10,2394717,2777756,2296201
11,2394371,3461035,2295812
12,2395270,4168172,2295751
13,2394751,8420731,2296048
14,2395939,8495354,2295675
15,2394636,3529874,2295976
16,2394864,2777929,2295722
17,2395118,2777925,2295384
18,2395844,3456161,2296562
19,2395511,5014154,2296364
20,2395452,15930102,2296297
21,2394476,17445026,2296288
22,2395187,2777906,2296241
23,2395710,2777861,2296106
24,2396141,2777775,2296200
25,2395127,2777828,2295905
26,2395285,6992967,2296460
27,2395827,2777820,2296120
28,2395192,5268978,2295665
29,2395107,27693968,2295750
30,2395797,9571763,2295739
31,2395454,4139497,2295522
32,2396446,3454348,2296351
33,2394719,3608409,2296082
34,2395378,5990874,2296287
35,2395080,2777877,2295785
36,2395246,2777819,2296180
37,2395453,6444426,2296564
38,2395808,2777852,2295956
39,2395251,3455558,2296150
40,2395325,2777903,2295815
41,2394330,14394472,2296101
42,2395176,12883881,2295986
43,2395525,3461455,2295730
44,2395055,7190815,2295711
45,2395081,2777820,2296127
46,2395455,12566010,2296089
47,2395726,6672253,2295196
48,2396291,3648027,2296449
49,2394732,15164403,2295311
50,2394327,12383261,2295949
51,2394601,13440072,2295912
52,2396590,2777832,2295913
53,2395054,2777936,2295978
54,2395091,6355152,2296545
55,2395520,9488667,2296188
56,2395493,2777687,2296643
57,2394997,12017116,2295997
58,2394679,7082722,2296211
59,2395183,9010258,2296073
60,2395484,6111488,2295858
61,2395872,4923320,2295796
62,2395417,9647415,2295364
63,2394691,12992796,2296126
64,2395250,9995167,2295718
65,2395261,3453553,2296057
66,2395463,10970708,2296395
67,2394781,4848406,2296122
68,2395829,6288785,2296422
69,2394893,7833112,2295839
70,2394875,5642950,2295661
71,2396213,2777981,2295806
72,2394306,15898585,2295822
73,2395160,4147764,2295415
74,2395115,16615690,2296096
75,2394173,4289722,2296338
76,2395497,2777915,2296027
77,2394436,3458889,2296128
78,2394757,4324453,2295958
79,2395483,4281054,2296071
80,2395799,4439747,2296259
81,2395617,11537625,2295692
82,2395573,10171373,2295907
83,2395251,2777894,2295971
84,2395313,5583716,2295951
85,2395442,2777846,2296157
86,2395865,2777753,2296261
87,2395546,2777795,2296155
88,2394185,18633430,2296246
89,2395669,9577598,2296129
90,2394851,3458484,2295821
91,2395698,6282032,2295511
92,2395231,5115134,2295384
93,2395094,2777962,2295929
94,2394489,4960417,2295952
95,2395467,2777854,2295932
96,2393890,4845249,2295673
97,2394387,2777858,2296053
98,2396042,2777849,2295759
99,2395854,3648933,2295627
100,2394820,5042164,2295844
101,2395255,4922375,2296061
102,2394593,10992315,2296186
103,2396008,4931637,2296061
104,2395178,2777883,2296015
105,2395531,4128931,2296456
106,2395270,4148938,2295607
107,2395975,4168766,2296252
108,2394041,6425910,2295803
109,2395056,3460339,2296241
110,2395713,10325600,2295813
111,2395759,25140881,2296236
112,2394771,5190483,2296175
113,2395351,8473776,2295592
114,2395360,6471813,2296126
115,2395596,8092139,2295857
116,2395032,4917731,2296151
117,2395684,7165262,2295893
118,2395345,4136895,2296210
119,2395123,5005021,2296288
120,2395793,4293629,2295843
121,2396118,7779118,2296058
122,2395424,7457490,2295547
123,2395419,9129954,2295832
124,2395292,2777900,2295641
125,2395297,2777928,2295860
126,2394351,13496924,2296332
127,2395347,4140682,2296709
