iter,keypair,sign,verify
0,4933208,5509466,4729166
1,4931195,5509358,4728603
2,4933205,11779853,4728737
3,4932429,5509524,4729258
4,4932995,12634254,4728896
5,4933741,6881720,4729098
6,4934069,19820318,4728591
7,4927131,5514308,4728613
8,4929004,6949324,4728336
9,4927389,6884684,4729003
10,4928668,8573308,4728301
11,4926647,11164686,4728966
12,4926910,18693964,4727905
13,4931670,5509524,4728146
14,4932769,5509352,4728773
15,4932945,6841275,4728584
16,4933248,5509106,4728794
17,4932091,8457696,4729076
18,4932850,6834826,4729043
19,4932158,5514163,4728564
20,4928062,6839189,4726964
21,4928079,9616545,4728068
22,4926321,12593860,4728264
23,4927652,8172116,4729567
24,4927247,14057844,4728912
25,4927106,25166452,4729396
26,4932226,7006937,4729186
27,4931905,6840412,4729543
28,4932966,28520211,4728851
29,4933477,14058122,4728980
30,4932678,6843812,4729677
31,4932980,7137387,4728129
32,4927745,8168360,4727476
33,4926981,5514284,4728980
34,4928237,8166159,4728733
35,4927931,7074580,4729265
36,4928217,6837238,4728230
37,4928921,15540259,4728665
38,4927201,17120560,4729338
39,4933035,12543708,4729087
40,4932490,15757058,4729014
41,4931966,5509307,4728176
42,4931269,9648583,4728586
43,4931749,10907532,4729231
44,4932399,11344664,4728902
45,4928720,21050158,4727997
46,4928139,5514229,4729541
47,4928197,8169832,4728871
48,4927393,5514507,4729421
49,4927113,5514208,4728921
50,4928766,6838550,4728836
51,4926401,6946069,4727773
52,4933156,11226037,4727726
53,4932028,5509429,4728821
54,4932135,5509489,4728522
55,4932063,28737189,4728768
56,4934981,7135032,4728859
57,4930109,8384743,4729162
58,4927810,11392074,4726605
59,4928082,8257736,4727495
60,4927922,6847365,4728622
61,4928249,7074874,4728473
62,4927248,19700263,4729514
63,4926579,25451471,4727897
64,4932437,8163348,4727901
65,4930879,20895738,4728070
66,4933104,14222774,4729132
67,4931805,20584981,4728702
68,4931628,8161911,4727662
69,4932505,22138959,4727927
70,4932916,6949952,4729005
71,4928923,8175456,4728284
72,4927286,17110022,4729928
73,4927982,5513986,4727894
74,4926980,8157952,4728411
75,4928500,7012362,4728160
76,4927922,30274766,4727654
77,4931967,5509440,4729421
78,4932401,8379438,4728955
79,4932168,9552328,4728289
80,4933636,9899094,4729132
81,4932552,7006194,4727741
82,4933523,15429557,4729011
83,4932278,5513903,4728214
84,4926962,7199984,4728781
85,4928836,21848489,4728606
86,4927569,8463068,4728964
87,4927575,26382902,4729000
88,4927272,5513920,4729257
89,4926803,6838376,4728095
90,4933960,17524276,4728931
91,4931710,8399631,4727724
92,4932896,22361544,4728010
93,4933115,7196688,4728961
94,4933889,8276899,4728425
95,4933925,6950395,4728136
96,4927716,6842960,4729487
97,4927414,7075528,4728613
98,4927710,6842908,4729843
99,4926313,5514181,4728573
